image_id,image_path,road_info_completeness,obstacle_info_completeness,clarity,exposure,real_world_applicability,quality_score
4_25,data/raw/4_25.png,24,25,16,18,9,92
4_27,data/raw/4_27.png,24,23,13,16,7,83
4_28,data/raw/4_28.png,25,24,15,17,9,90
5_0,data/raw/5_0.png,25,25,13,17,9,89
5_11,data/raw/5_11.png,18,22,14,16,7,77
5_14,data/raw/5_14.png,18,22,16,19,5,80
5_18,data/raw/5_18.png,18,23,16,18,6,81
5_2,data/raw/5_2.png,25,25,13,19,9,91
5_20,data/raw/5_20.png,19,21,16,12,6,74
5_22,data/raw/5_22.png,16,19,18,18,7,78
5_24,data/raw/5_24.png,19,20,16,20,7,82
5_26,data/raw/5_26.png,16,25,17,16,9,83
5_27,data/raw/5_27.png,19,23,11,15,5,73
5_28,data/raw/5_28.png,25,25,17,13,7,87
5_29,data/raw/5_29.png,24,21,19,18,5,87
5_4,data/raw/5_4.png,21,23,16,16,7,83
5_5,data/raw/5_5.png,21,21,14,16,6,78
5_6,data/raw/5_6.png,20,22,19,20,7,88
5_7,data/raw/5_7.png,24,22,14,17,7,84
5_9,data/raw/5_9.png,16,24,20,16,7,83
6_0,data/raw/6_0.png,22,25,19,11,5,82
6_1,data/raw/6_1.png,25,23,18,20,8,94
6_3,data/raw/6_3.png,21,24,16,17,10,88
7_0,data/raw/7_0.png,25,21,18,18,9,91
7_10,data/raw/7_10.png,24,16,17,12,10,79
7_11,data/raw/7_11.png,15,10,17,15,5,62
7_12,data/raw/7_12.png,17,22,11,14,8,72
7_13,data/raw/7_13.png,18,11,18,16,10,73
7_15,data/raw/7_15.png,24,24,16,13,9,86
7_19,data/raw/7_19.png,25,24,19,16,10,94
7_2,data/raw/7_2.png,18,21,16,11,8,74
7_20,data/raw/7_20.png,23,10,19,14,8,74
7_21,data/raw/7_21.png,19,22,17,14,8,80
7_22,data/raw/7_22.png,23,25,20,12,5,85
7_23,data/raw/7_23.png,23,24,6,14,10,77
7_25,data/raw/7_25.png,25,10,18,15,9,77
7_28,data/raw/7_28.png,16,22,16,11,8,73
7_29,data/raw/7_29.png,10,21,18,15,10,74
7_4,data/raw/7_4.png,18,9,18,18,10,73
7_5,data/raw/7_5.png,22,25,14,14,9,84
7_7,data/raw/7_7.png,18,20,19,19,7,83
7_9,data/raw/7_9.png,19,21,17,16,10,83
8_1,data/raw/8_1.png,15,16,17,12,5,65
8_10,data/raw/8_10.png,23,17,15,17,6,78
8_12,data/raw/8_12.png,25,10,9,19,8,71
8_13,data/raw/8_13.png,18,15,9,14,10,66
8_14,data/raw/8_14.png,21,9,11,15,8,64
8_17,data/raw/8_17.png,19,9,6,15,6,55
8_18,data/raw/8_18.png,25,17,6,13,10,71
8_19,data/raw/8_19.png,7,10,6,14,6,43
8_2,data/raw/8_2.png,24,10,9,18,5,66
8_20,data/raw/8_20.png,23,11,5,12,9,60
8_21,data/raw/8_21.png,21,11,9,20,4,65
8_22,data/raw/8_22.png,24,16,13,12,10,75
8_23,data/raw/8_23.png,23,18,6,14,9,70
8_26,data/raw/8_26.png,22,11,9,20,7,69
8_27,data/raw/8_27.png,21,18,9,17,9,74
8_28,data/raw/8_28.png,21,11,6,15,9,62
8_29,data/raw/8_29.png,21,20,7,16,6,70
8_4,data/raw/8_4.png,9,9,5,12,9,44
8_7,data/raw/8_7.png,18,16,6,16,9,65
8_9,data/raw/8_9.png,23,20,8,19,8,78
p00_s01,data/raw/p00_s01.png,16,23,17,15,10,81
p00_s02,data/raw/p00_s02.png,19,21,20,16,8,84
p00_s03,data/raw/p00_s03.png,17,22,20,16,8,83
p00_s04,data/raw/p00_s04.png,17,25,16,17,8,83
p00_s07,data/raw/p00_s07.png,25,23,19,16,10,93
p00_s09,data/raw/p00_s09.png,21,15,19,11,9,75
p00_s11,data/raw/p00_s11.png,24,24,18,16,5,87
p00_s12,data/raw/p00_s12.png,24,22,19,16,6,87
p00_s14,data/raw/p00_s14.png,19,23,20,20,8,90
p00_s16,data/raw/p00_s16.png,18,24,17,11,9,79
p00_s17,data/raw/p00_s17.png,23,21,19,20,8,91
p00_s19,data/raw/p00_s19.png,20,22,17,17,8,84
p00_s21,data/raw/p00_s21.png,23,23,16,12,8,82
p00_s22,data/raw/p00_s22.png,22,23,17,20,10,92
p00_s23,data/raw/p00_s23.png,15,25,20,19,10,89
p00_s24,data/raw/p00_s24.png,15,23,19,20,10,87
p00_s25,data/raw/p00_s25.png,19,22,19,20,10,90
p00_s27,data/raw/p00_s27.png,15,21,18,17,8,79
p00_s28,data/raw/p00_s28.png,18,22,16,19,8,83
p00_s29,data/raw/p00_s29.png,15,24,19,14,8,80
p01_s00,data/raw/p01_s00.png,7,21,7,18,8,61
p01_s04,data/raw/p01_s04.png,18,23,5,16,9,71
p01_s05,data/raw/p01_s05.png,20,24,18,17,5,84
p01_s06,data/raw/p01_s06.png,21,22,8,19,9,79
p01_s08,data/raw/p01_s08.png,24,24,9,20,10,87
p01_s09,data/raw/p01_s09.png,24,25,19,17,8,93
p01_s10,data/raw/p01_s10.png,25,25,7,20,8,85
p01_s11,data/raw/p01_s11.png,18,24,20,20,9,91
p01_s13,data/raw/p01_s13.png,24,23,7,20,8,82
p01_s14,data/raw/p01_s14.png,20,22,9,20,10,81
p01_s15,data/raw/p01_s15.png,15,22,5,16,9,67
p01_s17,data/raw/p01_s17.png,23,24,20,20,8,95
p01_s18,data/raw/p01_s18.png,22,21,6,19,10,78
p01_s19,data/raw/p01_s19.png,25,23,7,18,9,82
p01_s20,data/raw/p01_s20.png,18,24,12,18,10,82
p01_s21,data/raw/p01_s21.png,22,22,19,19,10,92
p01_s22,data/raw/p01_s22.png,25,21,6,18,8,78
p01_s23,data/raw/p01_s23.png,19,22,16,20,8,85
p01_s24,data/raw/p01_s24.png,24,23,20,20,8,95
p01_s26,data/raw/p01_s26.png,15,22,7,20,9,73
p01_s27,data/raw/p01_s27.png,19,21,7,19,10,76
p01_s29,data/raw/p01_s29.png,15,25,5,16,10,71
p02_s00,data/raw/p02_s00.png,15,22,20,13,8,78
p02_s01,data/raw/p02_s01.png,21,24,17,14,5,81
