image_id,image_path,split,estimated_label,road_info_completeness,obstacle_info_completeness,clarity,exposure,real_world_applicability,quality_score
4_25,data/raw/4_25.png,train,1,24,25,16,18,9,92
4_27,data/raw/4_27.png,train,1,24,23,13,16,7,83
4_28,data/raw/4_28.png,train,1,25,24,15,17,9,90
5_0,data/raw/5_0.png,train,1,25,25,13,17,9,89
5_11,data/raw/5_11.png,train,0,18,22,14,16,7,77
5_14,data/raw/5_14.png,train,1,18,22,16,19,5,80
5_18,data/raw/5_18.png,train,1,18,23,16,18,6,81
5_2,data/raw/5_2.png,train,1,25,25,13,19,9,91
5_20,data/raw/5_20.png,train,0,19,21,16,12,6,74
5_22,data/raw/5_22.png,train,0,16,19,18,18,7,78
5_24,data/raw/5_24.png,train,0,19,20,16,20,7,82
5_26,data/raw/5_26.png,train,1,16,25,17,16,9,83
5_27,data/raw/5_27.png,train,0,19,23,11,15,5,73
5_28,data/raw/5_28.png,train,1,25,25,17,13,7,87
5_29,data/raw/5_29.png,train,1,24,21,19,18,5,87
5_4,data/raw/5_4.png,train,1,21,23,16,16,7,83
5_5,data/raw/5_5.png,train,1,21,21,14,16,6,78
5_6,data/raw/5_6.png,train,1,20,22,19,20,7,88
5_7,data/raw/5_7.png,train,1,24,22,14,17,7,84
5_9,data/raw/5_9.png,train,1,16,24,20,16,7,83
6_0,data/raw/6_0.png,train,1,22,25,19,11,5,82
6_1,data/raw/6_1.png,train,1,25,23,18,20,8,94
6_3,data/raw/6_3.png,train,1,21,24,16,17,10,88
7_0,data/raw/7_0.png,train,1,25,21,18,18,9,91
7_10,data/raw/7_10.png,train,1,24,16,17,12,10,79
7_11,data/raw/7_11.png,train,0,15,10,17,15,5,62
7_12,data/raw/7_12.png,train,0,17,22,11,14,8,72
7_13,data/raw/7_13.png,train,0,18,11,18,16,10,73
7_15,data/raw/7_15.png,train,1,24,24,16,13,9,86
7_19,data/raw/7_19.png,train,1,25,24,19,16,10,94
7_2,data/raw/7_2.png,train,1,18,21,16,11,8,74
7_20,data/raw/7_20.png,train,0,23,10,19,14,8,74
7_21,data/raw/7_21.png,train,1,19,22,17,14,8,80
7_22,data/raw/7_22.png,train,1,23,25,20,12,5,85
7_23,data/raw/7_23.png,train,0,23,24,6,14,10,77
7_25,data/raw/7_25.png,train,0,25,10,18,15,9,77
7_28,data/raw/7_28.png,train,1,16,22,16,11,8,73
7_29,data/raw/7_29.png,train,0,10,21,18,15,10,74
7_4,data/raw/7_4.png,train,0,18,9,18,18,10,73
7_5,data/raw/7_5.png,train,1,22,25,14,14,9,84
7_7,data/raw/7_7.png,train,0,18,20,19,19,7,83
7_9,data/raw/7_9.png,train,1,19,21,17,16,10,83
8_1,data/raw/8_1.png,train,0,15,16,17,12,5,65
8_10,data/raw/8_10.png,train,0,23,17,15,17,6,78
8_12,data/raw/8_12.png,train,0,25,10,9,19,8,71
8_13,data/raw/8_13.png,train,0,18,15,9,14,10,66
8_14,data/raw/8_14.png,train,0,21,9,11,15,8,64
8_17,data/raw/8_17.png,train,0,19,9,6,15,6,55
8_18,data/raw/8_18.png,train,0,25,17,6,13,10,71
8_19,data/raw/8_19.png,train,0,7,10,6,14,6,43
8_2,data/raw/8_2.png,train,0,24,10,9,18,5,66
8_20,data/raw/8_20.png,train,0,23,11,5,12,9,60
8_21,data/raw/8_21.png,train,0,21,11,9,20,4,65
8_22,data/raw/8_22.png,train,0,24,16,13,12,10,75
8_23,data/raw/8_23.png,train,0,23,18,6,14,9,70
8_26,data/raw/8_26.png,train,0,22,11,9,20,7,69
8_27,data/raw/8_27.png,train,0,21,18,9,17,9,74
8_28,data/raw/8_28.png,train,0,21,11,6,15,9,62
