image_id,image_path,road_info_completeness,obstacle_info_completeness,clarity,exposure,real_world_applicability,quality_score
4_29,data/raw/4_29.png,21,22,15,17,7,82
5_10,data/raw/5_10.png,18,18,20,19,3,78
5_19,data/raw/5_19.png,21,24,20,18,9,92
5_25,data/raw/5_25.png,17,21,20,15,6,79
5_3,data/raw/5_3.png,18,21,18,14,6,77
7_1,data/raw/7_1.png,19,23,20,18,10,90
7_14,data/raw/7_14.png,18,23,12,17,7,77
7_18,data/raw/7_18.png,16,15,18,16,9,74
7_27,data/raw/7_27.png,25,19,17,14,10,85
7_3,data/raw/7_3.png,15,22,18,11,6,72
7_6,data/raw/7_6.png,16,21,16,13,10,76
7_8,data/raw/7_8.png,16,25,13,18,6,78
8_11,data/raw/8_11.png,24,22,11,12,10,79
8_25,data/raw/8_25.png,22,19,13,16,6,76
8_3,data/raw/8_3.png,15,16,7,12,5,55
p00_s00,data/raw/p00_s00.png,23,24,20,18,9,94
p00_s08,data/raw/p00_s08.png,16,23,20,16,9,84
p00_s15,data/raw/p00_s15.png,20,24,17,15,10,86
p00_s20,data/raw/p00_s20.png,21,22,20,19,10,92
p00_s26,data/raw/p00_s26.png,23,21,18,15,8,85
p01_s02,data/raw/p01_s02.png,15,21,8,17,9,70
p01_s16,data/raw/p01_s16.png,17,23,19,17,9,85
p01_s25,data/raw/p01_s25.png,25,21,5,19,9,79
p01_s28,data/raw/p01_s28.png,23,25,8,19,9,84
p02_s04,data/raw/p02_s04.png,23,21,18,14,10,86
p02_s14,data/raw/p02_s14.png,19,22,13,18,6,78
p02_s17,data/raw/p02_s17.png,23,25,18,16,10,92
p02_s25,data/raw/p02_s25.png,25,25,19,12,7,88
p02_s26,data/raw/p02_s26.png,20,22,19,14,6,81
p03_s05,data/raw/p03_s05.png,21,25,19,18,8,91
p03_s25,data/raw/p03_s25.png,17,24,17,19,8,85
p03_s29,data/raw/p03_s29.png,24,24,19,12,9,88
p04_s09,data/raw/p04_s09.png,24,21,20,13,9,87
p05_s01,data/raw/p05_s01.png,23,17,5,19,10,74
p05_s07,data/raw/p05_s07.png,24,19,6,19,9,77
p05_s13,data/raw/p05_s13.png,22,24,9,17,10,82
p05_s19,data/raw/p05_s19.png,21,18,6,18,9,72
p05_s26,data/raw/p05_s26.png,23,23,6,19,10,81
p05_s29,data/raw/p05_s29.png,22,20,7,19,10,78
p06_s06,data/raw/p06_s06.png,21,25,18,18,8,90
p06_s13,data/raw/p06_s13.png,15,25,20,19,9,88
p06_s21,data/raw/p06_s21.png,22,24,20,16,8,90
p06_s29,data/raw/p06_s29.png,18,23,12,17,10,80
p07_s02,data/raw/p07_s02.png,23,21,18,17,9,88
p07_s06,data/raw/p07_s06.png,22,21,14,13,9,79
p07_s11,data/raw/p07_s11.png,22,22,20,20,8,92
p07_s19,data/raw/p07_s19.png,15,23,18,14,8,78
p07_s26,data/raw/p07_s26.png,24,22,20,11,8,85
p08_s12,data/raw/p08_s12.png,23,23,19,17,8,90
p08_s16,data/raw/p08_s16.png,20,22,18,18,7,85
p08_s19,data/raw/p08_s19.png,15,21,7,19,10,72
p08_s29,data/raw/p08_s29.png,15,17,18,14,3,67
p09_s00,data/raw/p09_s00.png,25,22,18,15,9,89
p09_s04,data/raw/p09_s04.png,15,24,14,13,9,75
p09_s10,data/raw/p09_s10.png,16,25,19,12,5,77
p6_seed21,data/raw/p6_seed21.jpg,19,23,12,19,6,79
p6_seed25,data/raw/p6_seed25.jpg,22,25,19,18,10,94
p6_seed28,data/raw/p6_seed28.jpg,20,22,16,20,10,88
p7_seed0,data/raw/p7_seed0.jpg,10,23,18,14,9,74
p7_seed11,data/raw/p7_seed11.jpg,17,24,9,20,9,79
p7_seed17,data/raw/p7_seed17.jpg,23,21,9,18,9,80
p7_seed20,data/raw/p7_seed20.jpg,15,22,7,18,10,72
p7_seed28,data/raw/p7_seed28.jpg,21,23,15,20,8,87
p7_seed3,data/raw/p7_seed3.jpg,18,25,11,14,8,76
p7_seed7,data/raw/p7_seed7.jpg,25,24,20,17,9,95
p8_seed13,data/raw/p8_seed13.jpg,21,25,8,20,10,84
p8_seed18,data/raw/p8_seed18.jpg,21,23,7,11,8,70
p8_seed24,data/raw/p8_seed24.jpg,25,25,7,17,10,84
p8_seed3,data/raw/p8_seed3.jpg,24,21,11,19,9,84
p8_seed7,data/raw/p8_seed7.jpg,25,9,5,17,8,64
p9_seed0,data/raw/p9_seed0.jpg,21,23,16,20,9,89
p9_seed10,data/raw/p9_seed10.jpg,18,25,14,17,8,82
p9_seed20,data/raw/p9_seed20.jpg,22,22,9,20,10,83
p9_seed27,data/raw/p9_seed27.jpg,22,25,16,18,9,90
p9_seed28,data/raw/p9_seed28.jpg,16,25,5,18,8,72
p9_seed3,data/raw/p9_seed3.jpg,21,22,7,17,7,74
